Trajectory_ID,Time_Index,ID_LV,Pos_LV,Speed_LV,Acc_LV,ID_FAV,Pos_FAV,Speed_FAV,Acc_FAV,Space_Gap,Space_Headway,Time_Headway,Speed_Diff
5,3.8,1,219.4616156,35.20432238,0.387593479,3,104.6468331,30.65559076,0.571278157,110.3147824,114.8147824,3.745312996,4.54873163
5,3.9,1,222.9188198,35.24308173,0.251967238,3,107.7152486,30.71271857,0.464777939,110.7035712,115.2035712,3.751005335,4.530363162
5,4,1,225.8320756,35.26827846,0.139354463,3,110.7888443,30.75919636,0.476159709,110.5432313,115.0432313,3.74012474,4.509082092
5,4.1,1,228.088447,35.2822139,0.064182315,3,113.8671448,30.80681234,0.483931865,109.7213022,114.2213022,3.707663777,4.475401567
5,4.2,1,230.950813,35.28863213,0.026511664,3,116.9502457,30.85520552,0.457560488,109.5005673,114.0005673,3.694694797,4.433426612
5,4.3,1,236.0257104,35.2912833,0.023338563,3,120.038054,30.90096157,0.404959579,111.4876563,115.9876563,3.75352903,4.39032173
5,4.4,1,243.6371521,35.29361716,0.042439372,3,123.130175,30.94145753,0.358223103,116.0069771,120.5069771,3.894676809,4.352159628
5,4.5,1,248.9798123,35.29786109,0.080494689,3,126.2261119,30.97727984,0.325737401,118.2537005,122.7537005,3.962701086,4.320581255
5,4.6,1,245.9660197,35.30591056,0.137420968,3,129.3254685,31.00985358,0.31048574,112.1405512,116.6405512,3.761402836,4.296056984
5,4.7,1,231.1341388,35.31965266,0.203250809,3,132.4280063,31.04090215,0.319245923,94.20613246,98.70613246,3.179873187,4.278750506
5,4.8,1,211.5247053,35.33997774,0.237000881,3,135.5336928,31.07282675,0.350311686,71.49101252,75.99101252,2.445577712,4.267150995
5,4.9,1,196.8018926,35.36367783,0.227931997,3,138.642727,31.10785791,0.407295235,53.65916566,58.15916566,1.869597252,4.255819915
5,5,1,193.9750032,35.38647103,0.17520763,3,141.7555493,31.14858744,0.514329026,47.71945394,52.21945394,1.676462987,4.237883591
5,5.1,1,199.4547972,35.40399179,0.078178066,3,144.8729796,31.20002034,0.677399572,50.08181754,54.58181754,1.749416088,4.203971451
5,5.2,1,207.0025399,35.4118096,-0.047031199,3,147.9963687,31.2677603,0.874194905,54.50617119,59.00617119,1.887124969,4.144049301
5,5.3,1,211.7299175,35.40710648,-0.135756693,3,151.1275157,31.35517979,1.022013374,56.10240181,60.60240181,1.932771626,4.05192669
5,5.4,1,214.1609619,35.39353081,-0.172185866,3,154.2681437,31.45738113,1.100844846,55.39281816,59.89281816,1.903935293,3.936149683
5,5.5,1,216.1710863,35.37631222,-0.157131605,3,157.4193861,31.56746561,1.12372597,54.25170023,58.75170023,1.8611472,3.808846612
5,5.6,1,219.2117282,35.36059906,-0.100570016,3,160.5817513,31.67983821,1.141437421,54.12997698,58.62997698,1.850703169,3.680760855
5,5.7,1,223.050908,35.35054206,-0.040397071,3,163.7554423,31.79398195,1.166523604,54.79546571,59.29546571,1.86499023,3.556560111
5,5.8,1,227.0337587,35.34650235,0.013972334,3,166.9406731,31.91063431,1.207458023,55.59308562,60.09308562,1.883168007,3.435868043
5,5.9,1,230.643743,35.34789959,0.062106427,3,170.1377738,32.03138011,1.298808805,56.0059692,60.5059692,1.88895917,3.316519475
